grant_name,logo,foundation_name,supported_chains,application_status,grant_prize,details_link,application_link,description,tags
Immutable,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F92db70d4-69c9-4754-a079-dc3c4b30d77f&w=128&q=75,Immutable,Ethereum,"April 12, 2023","$100,000  $500,000",https://www.immutable.com/fund,https://www.immutable.com/apply,"Immutable X is a scaling solution for NFTs that aims to enable near-instant, zero gas fee transactions.

The $500m fund is set up to exponentially accelerate the growth and success of web3 projects & games built on Ethereum’s Layer 2 protocol, Immutable X, via Ventures and providing access to Digital Worlds’ Grants.

Digital Worlds NFTS, the not-for-profit foundation and issuer of the $IMX token, is very excited to offer Grants to projects seeking to build on the ImmutableX protocol. All Grants offered to prospective builders are subject to the final approval by Digital Worlds NFTS.

Successful Grant recipients will receive access to monetary support, milestone-based IMX rewards, and access to deep blockchain gaming support and expertise. This includes direct access to an advisory service for tokenomics and game design, plus community and marketing support. All projects planning to build on the ImmutableX protocol are encouraged to submit an application form below.


","NFT, GameFi"
Chainlink,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2Fc2ecc6f4-6509-4e12-8604-ae7b09a357d3&w=128&q=75,Chainlink,"Ethereum, Polygon","April 12, 2023",  ,https://chain.link/community/grants,https://chainlinkgrants.typeform.com/to/efEbsq?typeform-source=chain.link,"Chainlink is known as a decentralized oracle network or blockchain abstraction layer. Chainlink uses blockchain technology to securely enable computations on and off the blockchain, supporting what it calls hybrid smart contracts.3 Enterprises that use Chainlink can access any of the major blockchain networks, including Ethereum and Solana.",Oracle
Open Sea Grants,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2Fd1b827fd-f882-457a-a61a-480a71e3665e&w=128&q=75,Open Sea Grants,"Ethereum, Polygon, Solana","April 12, 2023",  ,https://opensea.io/opensea-grants,https://airtable.com/shrC6zgCb3lZo51as,"Ecosystem Grants will focus on the OpenSea Ecosystem Grants seek to empower creators, 
a) Usability and Tooling: Products and tooling that empower creators as well improve user experience.
b)Community Education: Resources to support the onboarding and educating of new users to help make NFTs and web3 more approachable.
c) Accessibility and Inclusivity: Creating a space where all individuals have access to the opportunity and promise of NFTs.",NFT
Uniswap Grants Program,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2Fdbfeec7f-94f0-4a88-af5b-a0020f290146&w=128&q=75,Uniswap Grants Program,"Arbitrum, Avalanche, Optimism, Ethereum, Polygon","April 12, 2023","  $250,000",https://www.notion.so/UGP-Process-Outline-5b34ef6b77964960844a86daeb4d9a26,https://www.notion.so/uniswap/Welcome-to-Uniswap-Foundation-Grants-Program-6e3e84967a984a5fb127ae749649ddc9,"The Uniswap Protocol is an open-source protocol for providing liquidity and trading ERC20 tokens on Ethereum. It eliminates trusted intermediaries and unnecessary forms of rent extraction, allowing for safe, accessible, and efficient exchange activity. The protocol is non-upgradable and designed to be censorship-resistant.",Exchange
Social Alpha,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F8903d721-1e97-4760-9105-7d7bc137e924&w=128&q=75,Social Alpha,Ethereum,"April 12, 2023","$10,000  $100,000",https://www.socialalphafoundation.org/saf-grant/#,https://www.socialalphafoundation.org/20171117_SA_Foundation_Project_Grant_Application.docx,Social Alpha Foundation (SAF) is a not-for-profit grant-making platform that focuses on supporting Blockchain education and outreach to empower communities to utilize Blockchain technology for social good.,Applications
Alchemy WAGBI Grants,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2Fbedf139a-6409-4ebb-9240-b6e1be6316c2&w=128&q=75,Alchemy WAGBI Grants,"Arbitrum, Optimism, Ethereum, Polygon, Solana","April 12, 2023",$49  ,https://www.alchemy.com/developer-grant-program,https://alchemyapi.typeform.com/alchemy-wagbi?typeform-source=www.alchemy.com,"WAGBI Grants encourage new builders to get into web3 and start building the next NFT marketplace, DeFi protocol or anything else that will further the ecosystem. Given the macro market conditions, there are many would-be builders who see the headlines and think “I guess now’s not the time for me to get involved.” It’s this exact group, the “would-be builders,” that we want to support.
",Tooling
XMTP Grants program,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F4b616d7b-569e-4661-b544-810dd2a5262e&w=128&q=75,XMTP Grants program,"Polygon, Binance Smart Chain, Avalanche, Fantom, Tron, Arbitrum, Optimism, Ethereum","April 12, 2023","  $10,000",https://xmtp.org/grants,https://forms.xmtp.org/grants-application,"Support projects, ideas, and people building on XMTP to foster ecosystem growth.

We offer two types of grants: Micro grants and Kickstarter grants.

Micro grants (<$5k): Smaller project scope, faster review process

Examples:
- Opt-in, interoperable, performant read receipts
- Rabbithole quest

Kickstarter grants (<$10K): Bigger project scope, fast review process

Examples:
- Cross-chain support or account abstraction
- Portable and interoperable consent backpack","Social, Messaging"
ZCash,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F9217f0d3-c294-491c-b6d3-a2867878ae8f&w=128&q=75,ZCash,Ethereum,"April 12, 2023",  ,https://zcashgrants.org/submit,https://zcashgrants.org/signup?ReturnUrl=%2Fsubmit%2F211910%2Fzcash-community-grants-program,"The Zcash Community Grants program (formerly known as ZOMG) funds independent teams entering the Zcash ecosystem, to perform major ongoing development (or other work) for the public good of the Zcash ecosystem.

Funding for Zcash Community Grants comes from the Major Grants slice of the Zcash Dev Fund. Grants are chosen by a five-person committee elected by the Zcash Community.","Applications, Ecosystem, Protocol Development"
0xDao,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2Fa05ada01-b148-4546-adff-6a188039eb90&w=128&q=75,0xDao,"Binance Smart Chain, Avalanche, Fantom, Celo, Ethereum, Polygon","April 12, 2023",  ,https://0xdao.gitbook.io/0x-dao/ecosystem-value-experiment/0xdao-grant-program-framework-v1,https://docs.google.com/forms/d/e/1FAIpQLSdAKUpuOkCxqpql6zVRGhYsFo0C2akLYRgK1LX1MrEWgcf7xw/viewform?usp=send_form,"Fund Opportunities that have the potential to grow protocol volume exponentially via win/win partnerships with balanced risk/reward. 
Specifically, we have identified the following areas for prioritization: 
Projects that increase 0x protocol volume (preference for orderbook-based volume) Projects building on 0x protocol and Polygon 
Protocol feature development (for example, integrating NFT support from v3 into v4)
Non-DeFi business models and use cases (social, games, etc.)
Research, simulation, and analytics related to tokenomics design
Branding strategy 
Community engagement
Developer engagement and support","Community, Protocol Development, Research"
HBAR Foundation,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F581ec3cc-a99e-461e-a0f5-8b1656e21630&w=128&q=75,HBAR Foundation,Ethereum,"April 12, 2023","$20,000  $2,000,000",https://www.hbarfoundation.org/hedera-ecosystem,https://www.hbarfoundation.org/apply,The HBAR Foundation acts as an integrated force multiplier to help builders and creators overcome the challenges of bringing their ideas to market.,"Stablecoin, Ecosystem, Exchange, NFT, GameFi, Metaverse, DeFi"
Skale,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2Fc0be5715-6450-4f77-bf71-acfc51975fd8&w=128&q=75,Skale,Ethereum,"April 12, 2023","  $5,000,000",https://p2e.skale.network/mp,https://skale.space/developers#grants,"The $100M ecosystem incentive program is for projects that meet a variety of criteria aimed at strengthening and growing the SKALE Network. The program is kicking off with a $5M blockchain gaming focused grant called SKALE MP that will offer grants to developers of P2E games.

The program coincides with the launch of SKALE V2 also known as the SKALEverse which includes numerous gaming optimized features such as speedy game mode, SKALE chain-to-chain transfers, and the launch of SKALE Hubs and NFT Marketplaces.","GameFi, Metaverse"
Tezos,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F7015d83b-49b1-43bd-8f9d-d1da4b39c517&w=128&q=75,Tezos,Tezos,"April 12, 2023",  ,https://tezos.foundation/grants/,https://grants.tezos.foundation/,"The Tezos Foundation is a Swiss foundation, supervised by the Swiss Federal Foundation Supervisory Authority. Our purpose is the promotion of the Tezos protocol through grants and other capital deployment vehicles.

We view Tezos as a long-term project – where a solid technical foundation is key to winning the marathon race to global adoption. It is crucial to understand that the Tezos Foundation is not Tezos. We do not manage or operate Tezos and we are only one entity in a global ecosystem. Our role is to sustainably deploy the resources that are under control to support the long-term success of Tezos. This long-term success will only be possible with a vibrant decentralized ecosystem. Our goal is to ensure that the independent organizations in this ecosystem have what they need to solve the challenges that lay ahead. Our role is not to solve these challenges unilaterally and on our own.","Applications, Ecosystem, GameFi, DeFi, Protocol Development"
Stacks,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F8133724b-53ca-4c8c-aea2-f0835d4b3e3c&w=128&q=75,Stacks,Ethereum,"April 12, 2023","$1,000  $250,000",https://stacks.org/grants,https://grants.stacks.org/,"The Stacks Open Internet Foundation (aka Stacks Foundation) provides support for developers, designers, community leaders, and more through various types of grants. Grant Types are organized by Funding Streams. Grant Types consist of milestone-driven grants, community-support grants, residencies of subject matter experts, and various other forms of support. While grants funded through our programs are broad in scope, the core mission of the Stacks Foundation is to fund software development and research efforts related to Stacks and Bitcoin. We prioritize funding strong technical projects that add immediate and widespread value to the Stacks ecosystem. Anyone is welcome to submit a project application.


",Protocol Development
Ocean Shipyard,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F5b330647-ec6f-4345-9c8a-d3c61d96e129&w=128&q=75,Ocean Shipyard,Ethereum,"April 12, 2023","$30,000  ",https://oceanprotocol.com/shipyard,https://docs.google.com/forms/d/e/1FAIpQLSf6G1CppsjEAVtCX8ZboNTURjx7L8N7ef2_uEk-7cxBOpYEuw/viewform,"Ocean Shipyard is an early stage grant program established to fund the next generation of Web3 dApps built on Ocean Protocol. It is made for entrepreneurs looking to build open-source Web3 solutions on Ocean, make valuable data available, build innovations and create value for the Ocean ecosystem.
Eligible Shipyard projects must make use of Ocean technology and/or OCEAN token, be open source, have experienced teams, working code, a clear use case and/or deployment potential. Typically, successful Shipyard grants are around $USD30-75K and cover a period of 3-6 months. Ideally, grant deliverables provide an initial validation MVP or beta that serves as a basis for further discussion.","NFT, DeFi"
Oasis,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F3f531164-17ee-473a-89d8-a2d9f7cffeed&w=128&q=75,Oasis,Ethereum,"April 12, 2023",  ,https://oasisprotocol.org/ecosystem#grantsprogram,https://forms.clickup.com/24394368/f/q8em0-15947/DLL6PC2QRGOA62ADBF,"Oasis Protocol Foundation is looking for:

-Web3 dApps on the Sapphire ParaTime

- EVM-compatible dApps on the Sapphire ParaTime or use Sapphire as a privacy layer by deploying smart contracts that can be 100% confidential, 100% public, or anywhere on the spectrum of confidentiality.

- Infrastructure or tooling for the Oasis Ecosystem



Build projects/toolings which contribute to the Oasis network and provide value for all builders in the ecosystem



New ParaTimes on the Oasis Network

",NFT
Nervos,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F9ddf23ab-7978-4175-a0e8-f45bbf03edbe&w=128&q=75,Nervos,Ethereum,"April 12, 2023",  ,https://www.nervos.org/developer/grants,https://godwoken.com/application,"The Grants Program was created to empower innovation and development, and to support the growth of a diverse and thriving ecosystem",Applications
1Inch,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F80782c82-f37a-49ec-a308-258087393b6a&w=128&q=75,1Inch,"Avalanche, Fantom, Gnosis, Ethereum, Polygon","April 12, 2023","  $3,000,000",https://1inch.io/foundation-grant-program/,https://airtable.com/shrB8SPtc2wKEeujd,The 1inch Foundation Grant Program fosters growth and expansion of the 1inch Network and incentivizes contributions through grants and resources,"Security, Community, Social, Protocol Development"
Acala,https://www.cryptoneur.xyz/_next/image?url=https%3A%2F%2Fdirectus.cryptoneur.xyz%2Fassets%2F671a4d67-b258-4a53-98f0-a02e8ae000ec&w=128&q=75,Acala,Ethereum,"April 12, 2023","  $50,000",https://acala.network/ecosystem-program,https://docs.google.com/forms/d/e/1FAIpQLSfsqrneJJlpSNYwT-EbDHyYUiTzs4OaPSL64ggKvmFHYZ3JaQ/viewform,The Acala Foundation Grants Program focuses on software development and research in the field of decentralized finance protocols that benefit the Acala and Karura ecosystem.,"Tooling, Stablecoin, DeFi"
